> print(out, digits = 3)
       static Brier dd (0.1, 0.01) Brier dd (0.5, 0.01) Brier dd (1, 0.01) Brier dd (0.5, NA) Brier dd (1, NA) Brier UKF Brier
  [1,]      0.09085              0.07850               0.0747             0.0747            0.07949          0.07913   0.07622
  [2,]      0.04020              0.03301               0.0317             0.0317            0.03376          0.03646        NA
  [3,]      0.03797              0.03642               0.0364             0.0364            0.03694          0.04277   0.03654
  [4,]      0.08586              0.07672               0.0751             0.0752            0.07728          0.08874        NA
  [5,]      0.02179              0.02139               0.0196                 NA            0.02010          0.01991   0.02043
  [6,]      0.03767              0.03850               0.0359             0.0360            0.03641          0.04216   0.03628
  [7,]      0.09430              0.09402               0.0876             0.0877            0.08956          0.08701   0.08743
  [8,]      0.12513                   NA               0.0999             0.1000            0.10270               NA        NA
  [9,]      0.10582              0.08957               0.0895             0.0895            0.09133          0.08904   0.08978
 [10,]      0.05647              0.05286               0.0518             0.0519            0.05365          0.05353   0.05245
 [11,]      0.10882              0.10888               0.1034             0.1035            0.10510          0.10457   0.10474
 [12,]      0.04724              0.04467               0.0448                 NA            0.04527          0.04595   0.04466
 [13,]      0.06748              0.05957                   NA                 NA            0.06274               NA        NA
 [14,]      0.00492              0.00506                   NA                 NA            0.00493               NA   0.00492
 [15,]      0.15017              0.13065               0.1294                 NA            0.13591               NA   0.14108
 [16,]      0.01169                   NA                   NA                 NA            0.01123          0.01109   0.01114
 [17,]      0.08417              0.07344               0.0731             0.0732            0.07393          0.07370   0.07494
 [18,]      0.15032              0.12986               0.1306             0.1307            0.13333          0.13872        NA
 [19,]      0.05778              0.04938               0.0462             0.0462            0.04920          0.04821   0.04727
 [20,]      0.01646              0.01588               0.0163                 NA            0.01639               NA        NA
 [21,]      0.05188              0.04938               0.0485             0.0486            0.04971          0.04861   0.04964
 [22,]      0.05582              0.05256               0.0529             0.0531            0.05397               NA   0.05779
 [23,]      0.12241              0.10274               0.1016                 NA            0.10462          0.14071        NA
 [24,]      0.05342              0.04612               0.0458                 NA            0.04703          0.07558        NA
 [25,]      0.14348              0.13058               0.1310             0.1313            0.13191          0.13785        NA
 [26,]      0.11751              0.09985               0.0986             0.0986            0.10149          0.10499   0.09974
 [27,]      0.06499              0.06004               0.0594             0.0594            0.06034               NA   0.06258
 [28,]      0.11649              0.09250               0.0917                 NA            0.09867          0.11517        NA
 [29,]      0.11561              0.09622               0.0941             0.0941            0.09904               NA        NA
 [30,]      0.05901              0.05373               0.0538             0.0538            0.05647          0.05455   0.05402
 [31,]      0.09987              0.07548               0.0746             0.0746            0.07991               NA        NA
 [32,]      0.09088              0.07751               0.0777                 NA            0.07954               NA   0.08013
 [33,]      0.00941                   NA                   NA                 NA            0.00934          0.00928   0.00938
 [34,]      0.04848              0.04068               0.0400                 NA            0.04132               NA   0.04214
 [35,]      0.11196              0.09842               0.0981             0.0982            0.10145          0.10003   0.09857
 [36,]      0.09961              0.08376               0.0794             0.0794            0.08288          0.08227   0.08054
 [37,]      0.02507              0.02333               0.0232                 NA            0.02431               NA   0.02410
 [38,]      0.04931              0.04414               0.0442                 NA            0.04439          0.07196   0.04476
 [39,]      0.13887              0.11577               0.1146                 NA            0.12180          0.13594        NA
 [40,]      0.12634              0.12135               0.1208             0.1209            0.12273          0.12052   0.12140
 [41,]      0.04951              0.04572               0.0455             0.0455            0.04598          0.04565   0.04577
 [42,]      0.08633                   NA               0.0838             0.0840            0.08494          0.08351   0.08481
 [43,]      0.13217              0.08202               0.0809             0.0810            0.08494          0.08431        NA
 [44,]      0.02989                   NA               0.0271                 NA            0.03194          0.02806   0.02816
 [45,]      0.09433              0.07645               0.0761             0.0762            0.07741          0.07688   0.07683
 [46,]      0.06683              0.06325               0.0630             0.0630            0.06429          0.06387   0.06372
 [47,]      0.09460              0.08883               0.0889             0.0889            0.09044          0.08909   0.09002
 [48,]      0.07408              0.06852               0.0678             0.0679            0.06942          0.07148   0.06945
 [49,]      0.00555              0.00555                   NA                 NA            0.00555          0.00573   0.00554
 [50,]      0.00826              0.00784                   NA                 NA            0.00804          0.00971   0.00817
 [51,]      0.02844              0.02638               0.0261             0.0261            0.02703          0.02736        NA
 [52,]      0.03577              0.03443               0.0344             0.0343            0.03434          0.03410        NA
 [53,]      0.04181              0.03853               0.0387             0.0386            0.03927          0.03828   0.03994
 [54,]      0.06551              0.04888               0.0484             0.0484            0.05048          0.05685   0.05077
 [55,]      0.01928              0.01822               0.0182             0.0182            0.01861          0.02892        NA
 [56,]      0.05967              0.04550               0.0456             0.0455            0.04791          0.04556   0.04565
 [57,]      0.13147              0.12036               0.1179             0.1179            0.12191          0.12054   0.11889
 [58,]      0.01373              0.01394               0.0138             0.0138            0.01362          0.01360   0.01364
 [59,]      0.04584              0.03201               0.0320             0.0320            0.03340          0.04502   0.03930
 [60,]      0.03049              0.03619               0.0278             0.0278            0.02966          0.02853   0.02800
 [61,]      0.06311              0.05685               0.0567             0.0568            0.05789          0.07026        NA
 [62,]      0.05492              0.05155               0.0516                 NA            0.05266          0.05170   0.05189
       gam Brier static Median abs res dd (0.1, 0.01) Median abs res dd (0.5, 0.01) Median abs res dd (1, 0.01) Median abs res
  [1,]   0.07493               0.07471                       0.05289                       0.04577                     0.04554
  [2,]   0.03162               0.02071                       0.01464                       0.00641                     0.00651
  [3,]   0.03627               0.02542                       0.02337                       0.01719                     0.01730
  [4,]   0.07491               0.08661                       0.07526                       0.06228                     0.06247
  [5,]   0.01944               0.00673                       0.00971                       0.00321                          NA
  [6,]   0.03603               0.02657                       0.04527                       0.01609                     0.01608
  [7,]   0.08688               0.09581                       0.11898                       0.07515                     0.07494
  [8,]   0.10013               0.14307                            NA                       0.08872                     0.08815
  [9,]   0.08906               0.10186                       0.07658                       0.06602                     0.06471
 [10,]   0.05149               0.05584                       0.04340                       0.03795                     0.03828
 [11,]   0.10321               0.11641                       0.13048                       0.10488                     0.10494
 [12,]   0.04420               0.02199                       0.01770                       0.01599                          NA
 [13,]   0.05952               0.06527                       0.03977                            NA                          NA
 [14,]   0.00493               0.00436                       0.01270                            NA                          NA
 [15,]   0.12940               0.21187                       0.17531                       0.16986                          NA
 [16,]   0.01111               0.00737                            NA                            NA                          NA
 [17,]   0.07282               0.07790                       0.05123                       0.04956                     0.04945
 [18,]   0.12903               0.21476                       0.16808                       0.15878                     0.15867
 [19,]   0.04617               0.02909                       0.01511                       0.01165                     0.01138
 [20,]   0.01613               0.01115                       0.00430                       0.00382                          NA
 [21,]   0.04839               0.03445                       0.03156                       0.01880                     0.01870
 [22,]   0.05285               0.05367                       0.03404                       0.03155                     0.03027
 [23,]   0.10180               0.13808                       0.08537                       0.08583                          NA
 [24,]   0.04597               0.04715                       0.02651                       0.02455                          NA
 [25,]   0.12987               0.18281                       0.14576                       0.14333                     0.14347
 [26,]   0.09862               0.12725                       0.07866                       0.07672                     0.07762
 [27,]   0.05927               0.03776                       0.03769                       0.02540                     0.02525
 [28,]   0.09175               0.14222                       0.06614                       0.06755                          NA
 [29,]   0.09344               0.12085                       0.07300                       0.07393                     0.07175
 [30,]   0.05378               0.05767                       0.04182                       0.03775                     0.03763
 [31,]   0.07460               0.09926                       0.05316                       0.05257                     0.05188
 [32,]   0.07773               0.09720                       0.07108                       0.07643                          NA
 [33,]   0.00930               0.00656                            NA                            NA                          NA
 [34,]   0.03996               0.03558                       0.02058                       0.01625                          NA
 [35,]   0.09808               0.13289                       0.10783                       0.10672                     0.10608
 [36,]   0.07926               0.08540                       0.04846                       0.04479                     0.04415
 [37,]   0.02322               0.00900                       0.00731                       0.00669                          NA
 [38,]   0.04422               0.04331                       0.02318                       0.02305                          NA
 [39,]   0.11495               0.16493                       0.13661                       0.12339                          NA
 [40,]   0.12001               0.13991                       0.14561                       0.13362                     0.13298
 [41,]   0.04566               0.02969                       0.02310                       0.02210                     0.02213
 [42,]   0.08324               0.07742                            NA                       0.06514                     0.06626
 [43,]   0.08062               0.16347                       0.05138                       0.05005                     0.05046
 [44,]   0.02695               0.01666                            NA                       0.00732                          NA
 [45,]   0.07617               0.08730                       0.04901                       0.04922                     0.04905
 [46,]   0.06283               0.06256                       0.05101                       0.04878                     0.04865
 [47,]   0.08877               0.08192                       0.06904                       0.06571                     0.06563
 [48,]   0.06769               0.04973                       0.05155                       0.03669                     0.03632
 [49,]   0.00556               0.00314                       0.00299                            NA                          NA
 [50,]   0.00806               0.00586                       0.00179                            NA                          NA
 [51,]   0.02609               0.02636                       0.01576                       0.01275                     0.01268
 [52,]   0.03386               0.02423                       0.03075                       0.01365                     0.01362
 [53,]   0.03814               0.02468                       0.01925                       0.01144                     0.01123
 [54,]   0.04828               0.05495                       0.02892                       0.02791                     0.02755
 [55,]   0.01817               0.00748                       0.00486                       0.00438                     0.00435
 [56,]   0.04544               0.04482                       0.01520                       0.01105                     0.01090
 [57,]   0.11798               0.15372                       0.13255                       0.11753                     0.11648
 [58,]   0.01357               0.00796                       0.01909                       0.00266                     0.00259
 [59,]   0.03211               0.02536                       0.01230                       0.01130                     0.01135
 [60,]   0.02771               0.01532                       0.03863                       0.00890                     0.00900
 [61,]   0.05640               0.06364                       0.03323                       0.03598                     0.03579
 [62,]   0.05150               0.04546                       0.03599                       0.03124                          NA
       dd (0.5, NA) Median abs res dd (1, NA) Median abs res UKF Median abs res gam Median abs res
  [1,]                     0.07116                   0.06902            0.03319           0.048605
